Time,Altitude,Latitude,Longitude,Pitch,Roll,Yaw,Pitch Rate,Roll Rate,Yaw Rate,Temperature,Humidity,Pressure
21:48:18.380220,,,,359.971731,340.141145,142.337017,2.3323698251e-07,2.20388123442e-07,9.2224620673e-08,22.412798,41.425323,0.000000
21:48:18.502579,,,,359.983570,340.073543,142.209798,0.0966590524851,-0.551933885134,-1.03867455005,22.377039,41.273315,996.551270
21:48:18.620954,,,,359.999947,340.004433,142.097113,0.138381283421,-0.583961073284,-0.952158204934,22.144606,41.156883,996.561279
21:48:18.737843,,,,0.017194,339.942108,141.988896,-3079.03799932,-0.533083992797,-0.925611719993,22.341280,41.189224,996.568359
21:48:18.854074,,,,0.037847,339.872916,141.884694,0.177731965736,-0.595440380245,-0.89672329897,22.377039,41.645256,996.582764
21:48:18.970684,,,,0.048035,339.814202,141.786244,0.0873352568703,-0.503317851578,-0.843949355995,22.323400,45.943584,996.592529
21:48:19.086933,,,,0.050873,339.757811,141.685909,0.0244196062644,-0.485217060203,-0.863333754241,22.287642,41.166584,996.601807
21:48:19.203203,,,,0.048304,339.704168,141.591488,-0.0220937971749,-0.461338093365,-0.812035197763,22.305521,40.222183,996.613770
21:48:19.320782,,,,0.063944,339.636163,141.494663,0.132873362218,-0.577752749207,-0.822599955033,22.251883,41.153648,996.620850
21:48:19.439670,,,,0.075122,339.587756,141.403672,0.0940418983157,-0.407254085862,-0.765518551587,22.377039,41.480309,996.638672
21:48:19.557560,,,,0.085316,339.527703,141.311792,0.0863927756223,-0.508941078522,-0.778670612534,22.394918,42.366493,996.648193
21:48:19.676851,,,,0.090856,339.463267,141.214448,0.0464932523645,-0.540765200246,-0.816938476205,22.377039,41.237740,996.653320
21:48:19.794485,,,,0.096151,339.420659,141.132991,0.0449995231949,-0.362103811952,-0.692261786759,22.394918,40.684681,996.651123
21:48:19.912308,,,,0.100698,339.364655,141.062845,0.0386032282634,-0.475464085256,-0.595527171709,22.287642,38.313969,996.662109
21:48:20.029682,,,,0.111402,339.310464,140.986279,0.0911521977354,-0.461475032463,-0.652014122927,22.430677,40.662041,996.664795
21:48:20.147556,,,,0.131866,339.276221,140.913086,0.17361661938,-0.29051768459,-0.620969567157,22.377039,41.092197,996.665771
21:48:20.264983,,,,0.138871,339.239005,140.852571,0.0596662622455,-0.316993521161,-0.515446660926,22.323400,41.321831,996.669922
21:48:20.382470,,,,0.136053,339.188412,140.794733,-0.0239833544132,-0.430585468357,-0.492246008713,22.412798,41.603210,996.671143
21:48:20.500195,,,,0.133901,339.155921,140.744941,-0.0182881281162,-0.276115042111,-0.423142414108,22.323400,40.878738,996.674561
21:48:20.618289,,,,0.062525,339.112979,140.685614,-0.604390289916,-0.363619813797,-0.502363017399,22.377039,41.454433,996.676514
21:48:20.735844,,,,0.068682,339.070695,140.639647,0.0523621460582,-0.359603862908,-0.390925900253,22.412798,41.499714,996.663330
21:48:20.860329,,,,0.071167,339.039278,140.582464,0.0199659128942,-0.252422167162,-0.4594409646,22.287642,45.713951,996.670898
21:48:20.977647,,,,0.063421,339.025751,140.541305,-0.0659875024048,-0.115235340179,-0.350629952424,22.484316,41.751984,996.672607
21:48:21.095184,,,,0.064104,338.982507,140.494150,0.00581646853205,-0.368268470278,-0.401574778373,22.520075,41.350937,996.678223
21:48:21.212929,,,,0.072926,338.954807,140.449344,0.0749119327532,-0.235214298035,-0.380469741435,22.377039,40.859329,996.674561
21:48:21.330476,,,,0.076728,338.913012,140.405303,0.0323403668045,-0.35551436891,-0.374619172656,22.359159,41.046917,996.668213
21:48:21.447847,,,,0.084464,338.877406,140.361794,0.0659067306848,-0.30334475863,-0.370674243196,22.484316,42.453819,996.665527
21:48:21.565538,,,,0.094874,338.856857,140.326892,0.088454262579,-0.174605825335,-0.296563945488,22.305521,43.314133,996.660645
21:48:21.683365,,,,0.113293,338.816599,140.300623,0.156332925327,-0.341693409404,-0.222960509008,22.394918,41.160118,996.667480
21:48:21.800776,,,,0.200583,338.797138,140.248632,0.743375876194,-0.165733049909,-0.442763835253,22.341280,37.958199,996.671631
21:48:21.918208,,,,0.211938,338.771509,140.230600,0.0967081007564,-0.218276698748,-0.153574678365,22.502195,42.828995,996.670898
21:48:22.035839,,,,0.225626,338.762495,140.188171,0.11635001115,-0.0766203244087,-0.360652734008,22.394918,41.380047,996.681885
21:48:22.153210,,,,0.228095,338.738106,140.177079,0.0210375125211,-0.207810406187,-0.0945111741126,22.448557,41.247440,996.679688
21:48:22.270625,,,,0.229938,338.728855,140.146165,0.0156967227626,-0.0787902236987,-0.263292722454,22.377039,41.131008,996.683838
21:48:22.388664,,,,0.163632,338.716058,140.131795,-0.561652966065,-0.108398531155,-0.121722817277,22.412798,42.657578,996.684082
21:48:22.506880,,,,0.168547,338.694576,140.104009,0.0415578163756,-0.181636828358,-0.234939061203,22.448557,40.746132,996.682129
21:48:22.624504,,,,0.180132,338.691065,140.086292,0.0985620900651,-0.029870651551,-0.150731510547,22.448557,40.820518,996.690674
21:48:22.741968,,,,0.166781,338.688850,140.052906,-0.11362961753,-0.0188517416544,-0.284146386852,22.484316,41.525589,996.687744
21:48:22.859464,,,,0.153316,338.670364,140.025121,-0.114612191249,-0.157350238948,-0.236502022567,22.412798,41.088963,996.688965
21:48:22.976904,,,,0.159790,338.653892,139.993429,0.0551354310115,-0.14028279574,-0.2699030089,22.520075,42.754608,996.677979
